주   요   지   표 ,단   위,2013,2014,2015,2016,2017,2018,2019
인        구,백만 명,630,639,649,658,668,677,687
명목GDP,십억 달러,11.9,13.2,14.3,15.9,16.9,18.3,20
1인당 명목GDP,달러,"1,899","2,075","2,212","2,416","2,542","2,705","2,918"
실질성장률,%,8,7.6,7.3,7,6.8,6.8,7
실  업  률,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
소비자물가상승률,%,6.6,2.3,0.9,2.4,0.1,2.6,2.9
재정수지(GDP대비),%,-6,-3.8,-3.7,-6.2,N/A,N/A,N/A
총수출,백만 달러,"3,565","4,381","3,813","4,169","4,995",N/A,N/A
(對韓 수출),〃,11,17,26,23,25,N/A,N/A
총수입,〃,"7,030","7,673","7,227","6,404","7,046",N/A,N/A
(對韓 수입),〃,198,165,180,136,100,N/A,N/A
무 역 수 지,백만 달러,"-3,465","-3,292","-3,413","-2,234","-2,051",N/A,N/A
경 상 수 지,〃,-436,"-1,178","-2,276","-1,233",N/A,N/A,N/A
환율(연평균),현지국/US$,"8,030","8,096","8,119","8,231","8,279",N/A,N/A
해외직접투자,억 달러,N/A,N/A,N/A,N/A,N/A,N/A,N/A
외국인직접투자,억 달러,4.2,9.1,14.2,9.9,N/A,N/A,N/A
