주   요   지   표 ,단   위,2012,2014,2015,2016,2017,2018e,2019f
인        구,백만 명,50.537,51.419,51.846,52.254,52.645,52.832,53.019
명목GDP,십억 달러,59.7,65.6,59.5,63.3,66.5,70.7,74.9
1인당 명목GDP,달러,"1,181","1,275","1,148","1,210","1,263","1,338","1,414"
실질 GDP 성장률,%,7.3,8,7,5.9,6.7,6.9,7
실  업  률,%,4,4,4,4,4,4,4
소비자물가상승률,%,2.8,5.1,10,7,6.9,5.4,5.8
재정수지(GDP대비),%,-4.002,-3.262,-5.152,-3.913,-5.308,-5.436,-5.611
총수출,백만 달러,"8,977.00","12,523.70","11,136.50","11,998.00","14,850.60",-,-
(對韓 수출),〃,280,580,506,459,463,-,-
총수입,〃,"9,068.90","16,632.60","16,577.80","17,211.00","18,686.90",-,-
(對韓 수입),〃,"1,331",800,660,761,573,-,-
무 역 수 지,백만 달러,-91,"-4,108.90","-5,441.30","-5,212.50","-3,836.30",-,-
경 상 수 지,〃,"-2,391",-1.419,-3.01,-2.475,-3.532,-3.844,-4.207
환율(연평균),현지국/US$,863/1,984/1,"1,161/1","1,234/1","1,360/1","1,388/1",-
해외직접투자,억 달러,-,-,-,-,-,-,-
외국인직접투자,억 달러,46,41,80,94,66,57,-
